Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprise
0,0,27,2,39,21,5,6
0,0,22,5,25,24,8,16
0,0,22,5,25,24,8,16
0,0,22,5,25,24,8,16
0,0,22,5,25,24,8,16
0,0,22,5,25,24,8,16
0,0,27,2,29,27,7,7
0,0,21,2,44,26,4,4
0,0,21,2,44,26,4,4
0,0,21,2,44,26,4,4
0,0,21,2,44,26,4,4
0,0,26,1,40,22,4,6
0,0,24,6,17,25,16,12
4,4,24,7,16,22,10,11
0,0,24,1,33,28,6,8
0,0,24,3,31,25,8,9
0,0,24,3,31,25,8,9
0,0,24,3,31,25,8,9
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
4,7,23,10,20,20,8,8
4,7,23,10,20,20,8,8
0,0,26,4,23,28,8,11
0,0,26,4,23,28,8,11
0,0,26,4,23,28,8,11
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
0,0,19,4,29,26,9,13
0,0,19,4,29,26,9,13
0,0,24,3,26,24,10,12
0,0,25,6,16,23,18,11
4,7,23,10,20,20,8,8
0,0,26,4,23,28,8,11
3,11,11,20,30,16,4,4
0,0,27,3,26,27,10,8
0,0,26,4,24,26,11,9
0,0,26,2,25,26,10,11
0,0,30,3,23,24,13,8
0,0,24,3,29,26,6,12
0,0,28,4,32,22,6,8
0,0,25,4,24,28,5,14
0,0,21,1,46,24,2,6
0,0,25,2,35,25,5,8
0,0,26,2,47,22,2,2
1,1,23,7,30,22,10,6
2,6,22,9,25,23,7,6
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
0,0,21,5,26,27,9,13
0,0,21,3,31,29,5,10
0,0,21,3,31,29,5,10
0,0,23,4,31,24,6,13
4,4,24,7,16,22,10,11
4,4,24,7,16,22,10,11
4,7,23,10,20,20,8,8
0,0,26,4,23,28,8,11
0,0,21,3,38,26,7,5
0,1,25,12,15,21,12,14
0,0,21,2,36,25,10,5
0,0,21,2,48,18,6,5
0,1,18,10,15,25,19,11
0,0,27,2,40,20,3,8
0,0,24,10,16,23,16,11
0,0,24,2,38,19,8,9
0,1,26,11,14,22,13,14
0,1,27,6,24,23,9,10
1,1,25,9,15,22,18,9
