Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
63.0,56.0,40.0,57.0,50.0
65.0,52.0,50.0,53.0,48.0
73.0,59.0,45.0,51.0,52.0
62.0,52.0,36.0,60.0,49.0
75.0,58.0,46.0,61.0,44.0
62.0,57.0,42.0,51.0,42.0
63.0,56.0,40.0,57.0,50.0
65.0,52.0,50.0,53.0,48.0
73.0,59.0,45.0,51.0,52.0
62.0,52.0,36.0,60.0,49.0
75.0,58.0,46.0,61.0,44.0
62.0,57.0,42.0,51.0,42.0
66.0,51.0,52.0,45.0,39.0
59.0,57.0,46.0,50.0,43.0
43.0,31.0,45.0,44.0,58.0
43.0,31.0,45.0,44.0,58.0
66.0,44.0,48.0,56.0,53.0
66.0,42.0,47.0,54.0,51.0
67.0,67.0,49.0,53.0,52.0
58.0,59.0,49.0,49.0,42.0
69.0,62.0,52.0,56.0,53.0
62.0,52.0,35.0,61.0,40.0
61.0,51.0,35.0,60.0,41.0
75.0,55.0,43.0,57.0,46.0
74.0,64.0,50.0,50.0,52.0
81.0,58.0,41.0,60.0,47.0
63.0,52.0,39.0,54.0,46.0
63.0,52.0,39.0,54.0,46.0
27.0,78.0,81.0,76.0,68.0
72.0,62.0,45.0,52.0,52.0
64.0,51.0,40.0,54.0,50.0
65.0,52.0,41.0,54.0,51.0
71.0,57.0,48.0,53.0,51.0
70.0,59.0,44.0,54.0,52.0
72.0,57.0,36.0,57.0,50.0
76.0,63.0,41.0,59.0,57.0
74.0,59.0,44.0,63.0,48.0
73.0,62.0,47.0,56.0,49.0
64.0,49.0,45.0,54.0,53.0
62.0,52.0,35.0,61.0,40.0
72.0,62.0,49.0,53.0,49.0
62.0,57.0,42.0,51.0,42.0
66.0,62.0,48.0,55.0,50.0
57.0,53.0,43.0,51.0,43.0
67.0,47.0,45.0,55.0,48.0
59.0,52.0,38.0,54.0,55.0
59.0,52.0,38.0,54.0,55.0
64.0,35.0,49.0,45.0,47.0
67.0,61.0,45.0,53.0,52.0
65.0,53.0,36.0,54.0,45.0
72.0,58.0,35.0,59.0,48.0
55.0,49.0,55.0,44.0,43.0
54.0,47.0,55.0,48.0,43.0
54.0,47.0,55.0,48.0,43.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
67.0,61.0,45.0,53.0,52.0
58.0,59.0,49.0,49.0,42.0
62.0,52.0,35.0,61.0,40.0
59.0,52.0,38.0,54.0,55.0
67.0,61.0,45.0,53.0,52.0
67.0,61.0,45.0,53.0,52.0
67.0,61.0,45.0,53.0,52.0
54.0,47.0,55.0,48.0,43.0
69.0,54.0,41.0,59.0,50.0
50.0,41.0,45.0,54.0,39.0
63.0,52.0,49.0,45.0,47.0
55.0,43.0,48.0,49.0,37.0
55.0,50.0,55.0,46.0,40.0
50.0,51.0,53.0,54.0,43.0
52.0,50.0,51.0,49.0,46.0
66.0,56.0,46.0,54.0,50.0
59.0,54.0,54.0,49.0,47.0
59.0,54.0,54.0,49.0,47.0
54.0,47.0,55.0,48.0,43.0
53.0,47.0,58.0,47.0,42.0
55.0,50.0,55.0,46.0,40.0
57.0,47.0,54.0,50.0,45.0
54.0,50.0,51.0,52.0,45.0
55.0,50.0,55.0,46.0,40.0
56.0,48.0,53.0,45.0,44.0
55.0,50.0,55.0,46.0,40.0
55.0,50.0,55.0,46.0,40.0
55.0,50.0,55.0,46.0,40.0
70.0,57.0,44.0,52.0,51.0
55.0,50.0,55.0,46.0,40.0
66.0,52.0,40.0,52.0,48.0
67.0,61.0,45.0,53.0,52.0
58.0,58.0,49.0,49.0,42.0
62.0,52.0,35.0,61.0,40.0
59.0,52.0,38.0,54.0,55.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
65.0,53.0,36.0,54.0,45.0
54.0,47.0,55.0,48.0,43.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
67.0,61.0,45.0,53.0,52.0
58.0,59.0,49.0,49.0,42.0
62.0,52.0,35.0,61.0,40.0
59.0,52.0,38.0,54.0,55.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
67.0,51.0,42.0,57.0,45.0
65.0,53.0,36.0,54.0,45.0
67.0,61.0,45.0,53.0,52.0
58.0,59.0,49.0,49.0,42.0
62.0,52.0,35.0,61.0,40.0
59.0,52.0,38.0,54.0,55.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
67.0,61.0,45.0,53.0,52.0
58.0,59.0,49.0,49.0,42.0
59.0,61.0,47.0,50.0,43.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
58.0,59.0,49.0,49.0,42.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
58.0,59.0,49.0,49.0,42.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
58.0,59.0,49.0,49.0,42.0
54.0,47.0,55.0,48.0,43.0
65.0,53.0,36.0,54.0,45.0
