WORDS,FREQ
finish,1
degree,1
finance,1
class,3
final,1
year,1
involve,1
teamwork,1
try,1
step,1
leader,1
whenever,1
possible,1
allow,1
develop,1
skill,1
communication,1
delegation,1
manage,1
multiple,1
task,2
deadline,1
senior,1
level,1
accounting,1
break,1
team,2
four,1
complete,1
large,1
project,2
throughout,1
entire,1
semester,1
end,1
get,1
high,1
grade,1
set,1
schedule,1
early,1
delegate,1
people,1
base,1
strength,1
enjoy,1
lead,2
delegating,1
hope,1
continue,1
professional,1
career,1
